week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
11,155,Washington,Houston,15.9,19.5,6.5,6.6,285.9,325.9,-0.2,0,389.6,308,151.24,143.88
11,156,Philadelphia,Indianapolis,15.7,26.3,6.7,8.3,321.4,370.6,-0.7,1.2,307.6,300.6,142.2,156.34
11,157,NY Jets,New England,21.3,19.9,7.5,6.4,317.6,311.8,0,0.1,302.8,310.5,143.34,141.26
11,158,LA Rams,New Orleans,22.6,16.8,7.5,6.7,355.2,288,-1.1,-0.7,327.3,312,155.8,136.62
11,159,Detroit,NY Giants,20.5,25,6.9,7.5,334.5,366.6,0.1,0.1,347.7,415.9,154.36,176.52
11,160,Las Vegas,Denver,14.7,22.5,7.1,6.9,326.4,342.3,0,-0.1,302.1,370.5,142.84,160.84
11,161,Dallas,Minnesota,22.9,25.1,6.6,7,338.5,345.6,0.7,0.7,388.9,310.6,163.4,150.4
11,162,Cincinnati,Pittsburgh,17,26.5,6.1,7.8,312.2,366.4,0,0.1,375.5,326.7,153.14,159.54
11,163,Kansas City,LA Chargers,22.7,30,6.5,8.1,351.7,429.3,0.1,-0.3,369,349.2,161.7,177.84
11,164,San Francisco,Arizona,21.8,23.6,6.1,8,331.9,362.7,0.3,-0.1,360.3,283.9,155.06,150.02
12,165,Buffalo,Detroit,25,28.1,7.4,7.7,362.9,415.9,0,0.1,414.5,327.3,175.28,169.68
12,166,NY Giants,Dallas,25.4,20.5,7.1,6.8,353.3,331.4,0.5,0.3,309.6,355.2,151.96,155.08
12,167,New England,Minnesota,23.8,21.7,6.7,7.8,340.3,325.9,0.5,0.1,390.7,307.8,164.46,146.7
12,168,Houston,Miami,25.6,15.8,8.5,6.4,386.7,279,0,-0.4,343.4,385,168.14,148.68
12,169,Baltimore,Jacksonville,22.2,25,6.9,6.9,359.5,356.1,0.2,0.7,362.9,335.8,162.76,157.32
12,170,Denver,Carolina,19.2,14.3,6.7,6.8,291.3,319.1,-0.3,-0.1,348.2,306.4,145.08,141.54
12,171,Cincinnati,Tennessee,19,25.9,7.7,7.8,298.8,367.1,0.2,0.1,351.3,328.3,149.26,159.88
12,172,Atlanta,Washington,19.4,22.7,6.6,7.4,324.9,315.3,0,-0.1,310,383.1,144.06,159
12,173,Chicago,NY Jets,20.9,20.9,6.7,7.2,325.8,323.2,0.2,0,308.8,350,144.54,153.22
12,174,Tampa Bay,Cleveland,23.9,18.2,7.1,6.5,376.9,339.1,-0.6,0.2,347.6,315.2,163.76,147.54
12,175,Las Vegas,Seattle,26.5,24.1,7.9,7.1,353.9,363.5,0.4,-0.1,388.7,370.6,169.7,165.82
12,176,LA Chargers,Arizona,22,22.9,6.1,6.5,334.8,348,0.1,0.3,356.2,368.7,154.82,160.98
12,177,LA Rams,Kansas City,29.6,16.2,8.1,6.6,430,279.8,-0.3,-0.6,335.5,323.4,175.16,136.96
12,178,New Orleans,San Francisco,22.6,20.8,7.8,7.5,358.5,347.3,0.1,-1.2,281.7,326.4,148.18,153.66
